Address,House_Age,Sqr_Ft,Mkt Value,Mkt_Value_1000s
1357,33,1812,240000,240
1358,32,1914,254400,254.4
1361,32,1842,243300,243.3
1362,33,1812,241000,241
1365,32,1836,251900,251.9
1366,33,2028,258500,258.5
1369,32,1732,237600,237.6
1370,33,1850,246000,246
1373,32,1791,239200,239.2
1374,33,1666,238400,238.4
1377,32,1852,250800,250.8
1378,32,1620,246700,246.7
1381,32,1692,237500,237.5
1382,32,2372,264000,264
1385,32,2372,263200,263.2
1386,33,1666,237500,237.5
1389,32,2123,266100,266.1
1390,32,1620,244700,244.7
1393,32,1731,236400,236.4
1394,32,1666,237100,237.1
1405,28,1520,233400,233.4
1406,27,1484,229800,229.8
1409,28,1588,231500,231.5
1410,28,1598,237100,237.1
1413,28,1484,232600,232.6
1414,28,1484,228800,228.8
1417,28,1520,237600,237.6
1418,27,1701,244200,244.2
1421,28,1484,232000,232
1425,28,1468,238100,238.1
1426,28,1520,238100,238.1
1429,27,1520,238600,238.6
1430,27,1484,226600,226.6
1434,28,1520,234400,234.4
1438,27,1668,240900,240.9
1442,28,1588,231000,231
1446,28,1784,241300,241.3
1450,27,1484,231300,231.3
1453,27,1520,250700,250.7
1454,28,1520,237200,237.2
1457,27,1684,246700,246.7
1458,27,1581,270700,270.7
