"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Alabama A & M University","Normal","AL",34.783368,-86.568502,0.68395643875603,23167,10024,18634,39059
"University of Alabama at Birmingham","Birmingham","AL",33.505697,-86.799345,0.86679400824369,26257,8832,21216,50907
"Amridge University","Montgomery","AL",32.362609,-86.17401,NA,NA,NA,NA,37730
"University of Alabama in Huntsville","Huntsville","AL",34.724557,-86.640449,0.78104282386669,25777,11878,24770,56901
"Alabama State University","Montgomery","AL",32.364317,-86.295677,0.9659783093151,21900,11068,19396,34018
"The University of Alabama","Tuscaloosa","AL",33.211875,-87.545978,0.80059920106524,31024,11940,32300,56118
"Central Alabama Community College","Alexander City","AL",32.92478,-85.945266,NA,14041,4990,8740,33095
"Athens State University","Athens","AL",34.806793,-86.964698,NA,NA,NA,NA,45311
"Auburn University at Montgomery","Montgomery","AL",32.36736,-86.177544,0.92227074235807,19771,9100,19348,43743
"Auburn University","Auburn","AL",32.599378,-85.488258,0.43744118355109,33650,12176,32960,61042
"Birmingham-Southern College","Birmingham","AL",33.513774,-86.850552,0.57171248757866,35495,21250,21250,55236
"Chattahoochee Valley Community College","Phenix City","AL",32.42391,-85.031485,NA,9320,4980,8730,32075
"South University-Montgomery","Montgomery","AL",32.342684,-86.216488,NA,32195,17014,17014,35237
"Enterprise State Community College","Enterprise","AL",31.297496,-85.836956,NA,9452,4920,8670,40851
"Coastal Alabama Community College","Bay Minette","AL",30.851343,-87.778193,NA,14446,4920,8670,34057
"Faulkner University","Montgomery","AL",32.384181,-86.21641,0.82407407407407,36169,23920,23920,41523
"Gadsden State Community College","Gadsden","AL",33.994001,-85.991438,NA,10613,3984,6984,31346
"New Beginning College of Cosmetology","Albertville","AL",34.27871,-86.196931,NA,NA,NA,NA,NA
"George C Wallace Community College-Dothan","Dothan","AL",31.315274,-85.465836,NA,8592,4860,8610,31116
"George C Wallace State Community College-Hanceville","Hanceville","AL",34.072439,-86.781935,NA,15488,4920,8670,36677
"George C Wallace State Community College-Selma","Selma","AL",32.445917,-87.013294,NA,9195,4620,8370,27232
"Herzing University-Birmingham","Birmingham","AL",33.468466,-86.832465,0.94232105628908,28152,12750,12750,34238
"Huntingdon College","Montgomery","AL",32.351034,-86.284366,0.65954139137193,39717,28350,28350,47328
"Heritage Christian University","Florence","AL",34.856153,-87.663051,1,17810,11632,11632,33257
"J. F. Drake State Community and Technical College","Huntsville","AL",34.771858,-86.572885,NA,12078,4890,8640,28569
"J F Ingram State Technical College","Deatsville","AL",32.582312,-86.392369,NA,6084,4860,4860,NA
"Jacksonville State University","Jacksonville","AL",33.822938,-85.765321,0.78464598249801,22153,11952,21912,41504
"Jefferson State Community College","Birmingham","AL",33.652535,-86.707233,NA,14677,5220,8910,37250
"John C Calhoun State Community College","Tanner","AL",34.645844,-86.949674,NA,11532,5000,8750,34208
"Lawson State Community College","Birmingham","AL",33.450814,-86.888844,NA,14471,4920,8670,30135
"University of West Alabama","Livingston","AL",32.588132,-88.186329,0.68859789204726,22456,10990,20090,38617
"Lurleen B Wallace Community College","Andalusia","AL",31.322947,-86.452262,NA,10125,4920,8670,30423
"Marion Military Institute","Marion","AL",32.623734,-87.322041,0.62700964630225,18368,9538,15538,50097
"Miles College","Fairfield","AL",33.482442,-86.908751,NA,22653,12714,12714,30847
"University of Mobile","Mobile","AL",30.793247,-88.128934,0.84082840236686,37908,25880,25880,43640
"University of Montevallo","Montevallo","AL",33.10625,-86.865099,0.59835045129162,26185,13710,26730,40439
"Northwest-Shoals Community College","Muscle Shoals","AL",34.739788,-87.678089,NA,10919,5011,8761,33630
"University of North Alabama","Florence","AL",34.80731,-87.680407,0.95684709403841,21621,11220,21420,42601
"Northeast Alabama Community College","Rainsville","AL",34.545471,-85.911664,NA,9660,4920,8670,34507
"Oakwood University","Huntsville","AL",34.756344,-86.652705,0.6804979253112,38377,20040,20040,41219
"Reid State Technical College","Evergreen","AL",31.460265,-86.964797,NA,11482,4950,8700,28816
"Bishop State Community College","Mobile","AL",30.693972,-88.056982,NA,11616,4920,8670,27611
"Samford University","Birmingham","AL",33.464128,-86.791799,0.83260318192298,52514,36725,36725,54742
"Selma University","Selma","AL",32.420387,-87.032392,NA,NA,4800,4800,25593
"Shelton State Community College","Tuscaloosa","AL",33.120531,-87.56148,NA,15065,4980,8730,33355
"Snead State Community College","Boaz","AL",34.201495,-86.169897,NA,12800,5408,9408,33215
"University of South Alabama","Mobile","AL",30.696033,-88.178711,0.65362549800796,22667,9116,17732,45018
"Spring Hill College","Mobile","AL",30.694751,-88.138199,0.72634146341463,35488,21732,21732,51166
"Stillman College","Tuscaloosa","AL",33.200006,-87.585278,0.64544946957007,25678,11392,11392,34087
"Talladega College","Talladega","AL",33.433472,-86.112704,NA,22267,13866,13866,30032
"H Councill Trenholm State Community College","Montgomery","AL",32.350109,-86.343057,NA,12688,4830,8580,28768
"Troy University","Troy","AL",31.799583,-85.95802,0.94840085287846,22005,9312,18624,41691
"Tuskegee University","Tuskegee","AL",32.4309,-85.708492,0.29685294361869,41924,22614,22614,43878
"United States Sports Academy","Daphne","AL",30.639329,-87.91163,1,NA,16418,16418,48255
"Bevill State Community College","Jasper","AL",33.836929,-87.266406,NA,15002,5278,9278,33076
"University of Alaska Anchorage","Anchorage","AK",61.190163,-149.82619,0.65318352059925,23461,7508,21635,49846
"Alaska Bible College","Palmer","AK",61.598553,-149.111972,NA,19679,10900,10900,NA
"University of Alaska Fairbanks","Fairbanks","AK",64.85756,-147.823146,NA,19814,7896,22032,46150
